NAME,TYPE,LOCATION,TAG,LAT,LON
한국체육대학교 골프장,지역레저시설 실외골프연습장,서울특별시 송파구 양재대로 1239,에너지 회복; 스트레스 해소,37.5188988,127.1327542
루트클라이밍,지역체육시설 클라이밍,서울특별시 송파구 양재대로71길 5-14,에너지 회복; 스트레스 해소,37.5107285,127.1230905
비젼9,지역레저시설 스크린골프,서울특별시 송파구 오금로11길 11-8,에너지 회복; 스트레스 해소,37.515758,127.1136986
J골프존,지역레저시설 스크린골프,서울특별시 송파구 올림픽로 203,에너지 회복; 스트레스 해소,37.5133026,127.1006808
콩VR 잠실롯데월드몰점,액티비티 VR,서울특별시 송파구 올림픽로 300,몰입; 감정 자극,37.5137421,127.1042466
프렌즈스크린 평화의문점,지역레저시설 스크린골프,서울특별시 송파구 올림픽로 374,에너지 회복; 스트레스 해소,37.5133026,127.1006808
엠에스골프연습장,지역레저시설 실내골프연습장,서울특별시 양천구 공항대로 538,에너지 회복; 스트레스 해소,37.5502483,126.8655765
목동클라이밍센터,지역체육시설 클라이밍,서울특별시 양천구 공항대로 596,에너지 회복; 스트레스 해소,37.5472975,126.8709425
OK스크린골프,지역레저시설 스크린골프,서울특별시 양천구 국회대로 226,에너지 회복; 스트레스 해소,37.5305,126.8692055
골프존마켓 목동점,지역레저시설 스크린골프,서울특별시 양천구 국회대로 228,에너지 회복; 스트레스 해소,37.5305,126.8692055
근린공원 농구장,지역체육시설 농구장,서울특별시 양천구 남부순환로 640,에너지 회복; 스트레스 해소,37.5190415,126.8386508
골프존아카데미 목동점,지역레저시설 스크린골프,서울특별시 양천구 목동동로 233-3,에너지 회복; 스트레스 해소,37.5258593,126.8756888
목동테니스장,지역체육시설 테니스장,서울특별시 양천구 목동동로 298,에너지 회복; 스트레스 해소,37.5267993,126.8765295
목동신시가지7단지아파트 테니스장,지역체육시설 테니스장,서울특별시 양천구 목동로 212,에너지 회복; 스트레스 해소,37.5277895,126.867939
